File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 72 (42.41%), 0 (0.00%), 87 (51.43%), 10 (6.14%), 0 (0.00%), 0 (0.00%), 0 (0.01%), 169 (99.99%), 169
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
grad_gather,test1,0.001000,0.001000,0.001000,0.000000,71.705000,0.000000,0.000000,-nan,0.000000,71.706000,0.106398,0.093098,0.000000,-nan,0.000000,169.081000
grad_param_comm,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,35.924000,0.212376,0.185829,0.000000,-nan,0.000000,169.081000
embedding_grads,test1,0.001000,0.001000,0.001000,0.000000,0.000000,43.498000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,43.498000,0.087698,0.153472,169.081000
moe_grad_norm1,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,10.361000,0.368178,0.184089,0.000000,-nan,0.000000,169.081000
moe_grad_norm2,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,5.140000,0.742159,0.371080,0.000000,-nan,0.000000,169.081000
mlp_moelayer,test1,0.001000,0.001000,0.001000,5.230000,0.000000,5.144000,5.230000,0.729388,0.547041,0.000000,-nan,0.000000,5.144000,0.741582,0.556186,169.081000
attention_column,test1,0.001000,0.001000,0.001000,21.685000,0.000000,0.000000,21.685000,0.175914,0.153925,0.000000,-nan,0.000000,0.000000,-nan,-nan,169.081000
final_column,test1,0.001000,0.001000,0.001000,21.771000,0.000000,0.000000,21.771000,0.175219,0.153317,0.000000,-nan,0.000000,0.000000,-nan,-nan,169.081000
SUM,test1,0.008000,0.008000,0.008000,48.686000,71.705000,48.642000,48.686000,NONE,NONE,123.131000,NONE,NONE,48.642000,NONE,NONE
total exposed comm,169.057000,total comp,0.024000,total time,169.081000
